name,price,image_url,description,rating,rating_count,review_count,url
"Motorola G34 5G (Ocean Green, 128 GB) (8 GB RAM)","₹11,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70&crop=false,"Look no further than the amazing Moto G34 5G smartphone, which is built to improve performance and add sophistication to your life. Powered by the LPDDR4X RAM and the Snapdragon 695 5G octa-core CPU, the Moto G34 5G offers the performance needed to fully utilise 5G networks. The Moto G34 5G sticks out with its slim, elegant, and light design. There's a vegan leather special edition for an added bit of refinement. Take incredibly clear and vibrant pictures with the sophisticated 50 MP Quad Pixel camera with Image Auto Enhance, the Quad pixel camera system helps you take stunning pictures even in dim lighting. Plus it comes with advanced 16 MP Selfie Camera.",4.2,63568,5336,https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429
"Motorola G34 5G (Ice Blue, 128 GB) (8 GB RAM)","₹11,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70&crop=false,"Look no further than the amazing Moto G34 5G smartphone, which is built to improve performance and add sophistication to your life. Powered by the LPDDR4X RAM and the Snapdragon 695 5G octa-core CPU, the Moto G34 5G offers the performance needed to fully utilise 5G networks. The Moto G34 5G sticks out with its slim, elegant, and light design. There's a vegan leather special edition for an added bit of refinement. Take incredibly clear and vibrant pictures with the sophisticated 50 MP Quad Pixel camera with Image Auto Enhance, the Quad pixel camera system helps you take stunning pictures even in dim lighting. Plus it comes with advanced 16 MP Selfie Camera.",4.2,63568,5336,https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429
"vivo T3x 5G (Crimson Bliss, 128 GB) (6 GB RAM)","₹14,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/w/3/4/-original-imahyytukhkky5ew.jpeg?q=70&crop=false,NA,4.5,12219,12219,https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZRNEPA4FFHCV.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429
"Motorola G34 5G (Charcoal Black, 128 GB) (8 GB RAM)","₹11,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70&crop=false,"Look no further than the amazing Moto G34 5G smartphone, which is built to improve performance and add sophistication to your life. Powered by the LPDDR4X RAM and the Snapdragon 695 5G octa-core CPU, the Moto G34 5G offers the performance needed to fully utilise 5G networks. The Moto G34 5G sticks out with its slim, elegant, and light design. There's a vegan leather special edition for an added bit of refinement. Take incredibly clear and vibrant pictures with the sophisticated 50 MP Quad Pixel camera with Image Auto Enhance, the Quad pixel camera system helps you take stunning pictures even in dim lighting. Plus it comes with advanced 16 MP Selfie Camera.",4.2,63568,5336,https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429
"vivo T3x 5G (Celestial Green, 128 GB) (8 GB RAM)","₹16,499",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/k/g/j/t3x-5g-v2338-vivo-original-imahyyzaqhgwzfup.jpeg?q=70&crop=false,NA,4.4,2553,2553,https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDPBFWUMWG&lid=LSTMOBGZZCDPBFWUMWGUSZ5RR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZZCDPBFWUMWG.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429
"vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)","₹14,999",https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/k/g/j/t3x-5g-v2338-vivo-original-imahyyzaqhgwzfup.jpeg?q=70&crop=false,NA,4.5,12219,12219,https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNERKDV5ECF&lid=LSTMOBGZRNERKDV5ECFN7UCZ2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZRNERKDV5ECF.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429
