name,episodes,page_num
Shrimply Pibbles,['https://rickandmortyapi.com/api/episode/19'],17
Simple Rick,['https://rickandmortyapi.com/api/episode/28'],17
Slaveowner,['https://rickandmortyapi.com/api/episode/23'],17
Sleepy Gary,['https://rickandmortyapi.com/api/episode/15'],17
Slick Morty,['https://rickandmortyapi.com/api/episode/28'],17
Slippery Stair,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/11']",17
Slow Mobius,['https://rickandmortyapi.com/api/episode/11'],17
Slow Rick,['https://rickandmortyapi.com/api/episode/28'],17
Snuffles (Snowball),"['https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/7', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30']",17
Solicitor Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']",17
Squanchy,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21']",17
Stacy,['https://rickandmortyapi.com/api/episode/27'],17
Stair Goblin,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/25']",17
Stealy,['https://rickandmortyapi.com/api/episode/19'],17
Steve,['https://rickandmortyapi.com/api/episode/31'],17
Steven Phillips,['https://rickandmortyapi.com/api/episode/14'],17
Stu,['https://rickandmortyapi.com/api/episode/4'],17
Summer Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22']",17
Summer Smith,['https://rickandmortyapi.com/api/episode/10'],17
Supernova,['https://rickandmortyapi.com/api/episode/25'],17
