name,episodes,page_num
Melissa,['https://rickandmortyapi.com/api/episode/2'],12
Michael Denny and the Denny Singers,['https://rickandmortyapi.com/api/episode/8'],12
Michael Jenkins,['https://rickandmortyapi.com/api/episode/19'],12
Michael McLick,['https://rickandmortyapi.com/api/episode/19'],12
Michael Thompson,['https://rickandmortyapi.com/api/episode/19'],12
Million Ants,['https://rickandmortyapi.com/api/episode/25'],12
Mitch,['https://rickandmortyapi.com/api/episode/27'],12
Mohawk Guy,['https://rickandmortyapi.com/api/episode/23'],12
Morty Mart Manager Morty,['https://rickandmortyapi.com/api/episode/28'],12
Morty Jr.,['https://rickandmortyapi.com/api/episode/7'],12
Morty Rick,['https://rickandmortyapi.com/api/episode/22'],12
Morty Smith,['https://rickandmortyapi.com/api/episode/10'],12
Morty K-22,['https://rickandmortyapi.com/api/episode/28'],12
Morty Smith,['https://rickandmortyapi.com/api/episode/6'],12
Mortytown Loco,['https://rickandmortyapi.com/api/episode/28'],12
Mr. Beauregard,['https://rickandmortyapi.com/api/episode/15'],12
Mr. Benson,['https://rickandmortyapi.com/api/episode/12'],12
Mr. Booby Buyer,['https://rickandmortyapi.com/api/episode/5'],12
Mr. Goldenfold,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6']",12
Mr. Goldenfold,"['https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/24', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/39']",12
