name,episodes,page_num
Ruth Bader Ginsburg,['https://rickandmortyapi.com/api/episode/37'],32
Sarge,['https://rickandmortyapi.com/api/episode/37'],32
Shrek The Musical Fan,['https://rickandmortyapi.com/api/episode/37'],32
Snuffles,['https://rickandmortyapi.com/api/episode/37'],32
Storylord,['https://rickandmortyapi.com/api/episode/37'],32
Tammy Guetermann,['https://rickandmortyapi.com/api/episode/37'],32
The Concept of Time,['https://rickandmortyapi.com/api/episode/37'],32
Beth Smith,['https://rickandmortyapi.com/api/episode/37'],32
Summer Smith,['https://rickandmortyapi.com/api/episode/37'],32
Morty Smith,['https://rickandmortyapi.com/api/episode/37'],32
Rick Sanchez,['https://rickandmortyapi.com/api/episode/37'],32
Train Cop,['https://rickandmortyapi.com/api/episode/37'],32
Train Cops,['https://rickandmortyapi.com/api/episode/37'],32
Train Cops Instructor,['https://rickandmortyapi.com/api/episode/37'],32
Darth Poopybutthole,['https://rickandmortyapi.com/api/episode/37'],32
Evil Morty,['https://rickandmortyapi.com/api/episode/37'],32
Morty’s Disguise,['https://rickandmortyapi.com/api/episode/37'],32
Rick’s Disguise,['https://rickandmortyapi.com/api/episode/37'],32
Uncle Nibbles,['https://rickandmortyapi.com/api/episode/37'],32
Angry Glorzo,['https://rickandmortyapi.com/api/episode/38'],32
