name,episodes,page_num
Xing Ho,['https://rickandmortyapi.com/api/episode/44'],37
Air Tina-Teer,['https://rickandmortyapi.com/api/episode/44'],37
Water Tina-Teer,['https://rickandmortyapi.com/api/episode/44'],37
Planetina Buyer,['https://rickandmortyapi.com/api/episode/44'],37
Tony Galopagus,['https://rickandmortyapi.com/api/episode/44'],37
Sticky,['https://rickandmortyapi.com/api/episode/45'],37
Professor Shabooboo,['https://rickandmortyapi.com/api/episode/45'],37
Sperm Queen,['https://rickandmortyapi.com/api/episode/45'],37
CHUD King,['https://rickandmortyapi.com/api/episode/45'],37
Princess Ponietta,['https://rickandmortyapi.com/api/episode/45'],37
Naruto Smith,"['https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/48']",37
Blazen,['https://rickandmortyapi.com/api/episode/45'],37
Kathy Ireland,['https://rickandmortyapi.com/api/episode/45'],37
Amazing Johnathan,['https://rickandmortyapi.com/api/episode/45'],37
Foal Sanchez,['https://rickandmortyapi.com/api/episode/45'],37
Spaceman,['https://rickandmortyapi.com/api/episode/45'],37
Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45'],37
Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45'],37
Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45'],37
Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45'],37
