name,episodes,page_num
Bearded Jerry,['https://rickandmortyapi.com/api/episode/13'],23
Shaved Head Jerry,['https://rickandmortyapi.com/api/episode/13'],23
Tank Top Jerry,['https://rickandmortyapi.com/api/episode/13'],23
Pink Polo Shirt Jerry,['https://rickandmortyapi.com/api/episode/13'],23
Jerryboree Keeper,['https://rickandmortyapi.com/api/episode/13'],23
Jerryboree Receptionist,['https://rickandmortyapi.com/api/episode/13'],23
Anchor Gear,['https://rickandmortyapi.com/api/episode/13'],23
Gear Cop,['https://rickandmortyapi.com/api/episode/13'],23
Roy's Mum,['https://rickandmortyapi.com/api/episode/13'],23
Roy's Wife,['https://rickandmortyapi.com/api/episode/13'],23
Roy's Son,['https://rickandmortyapi.com/api/episode/13'],23
Simon,['https://rickandmortyapi.com/api/episode/16'],23
Vampire Master's Assistant,['https://rickandmortyapi.com/api/episode/18'],23
Arbolian Mentirososian,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']",23
St. Gloopy Noops Nurse,['https://rickandmortyapi.com/api/episode/19'],23
Nano Doctor,['https://rickandmortyapi.com/api/episode/19'],23
Funny Songs Presenter,['https://rickandmortyapi.com/api/episode/19'],23
Tax Attorney,['https://rickandmortyapi.com/api/episode/19'],23
Butthole Ice Cream Guy,['https://rickandmortyapi.com/api/episode/19'],23
Traflorkian Journalist,['https://rickandmortyapi.com/api/episode/19'],23
