name,episodes,page_num
Christmas Storyteller,['https://rickandmortyapi.com/api/episode/37'],31
Cookies Guy,['https://rickandmortyapi.com/api/episode/37'],31
Crossy,['https://rickandmortyapi.com/api/episode/37'],31
Female Scorpion,['https://rickandmortyapi.com/api/episode/37'],31
Floaty Bloody Man’s Daughter,['https://rickandmortyapi.com/api/episode/37'],31
Goomby,['https://rickandmortyapi.com/api/episode/37'],31
Hairspray Fan,['https://rickandmortyapi.com/api/episode/37'],31
Jesus Christ,['https://rickandmortyapi.com/api/episode/37'],31
Josh,['https://rickandmortyapi.com/api/episode/37'],31
Josh's Sister,['https://rickandmortyapi.com/api/episode/37'],31
Leah,['https://rickandmortyapi.com/api/episode/37'],31
Marcus,['https://rickandmortyapi.com/api/episode/37'],31
Mike Johnson,['https://rickandmortyapi.com/api/episode/37'],31
Mr. Celery & Friends,['https://rickandmortyapi.com/api/episode/37'],31
Musical Fan,['https://rickandmortyapi.com/api/episode/37'],31
Phantom of the Opera Fan,['https://rickandmortyapi.com/api/episode/37'],31
Phoenixperson,['https://rickandmortyapi.com/api/episode/37'],31
Private Smith,['https://rickandmortyapi.com/api/episode/37'],31
Professor Sanchez,['https://rickandmortyapi.com/api/episode/37'],31
Ramamama Lord,['https://rickandmortyapi.com/api/episode/37'],31
