name,episodes,page_num
Toxic Rick,['https://rickandmortyapi.com/api/episode/27'],19
Traflorkian,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']",19
Trandor,['https://rickandmortyapi.com/api/episode/30'],19
Tree Person,['https://rickandmortyapi.com/api/episode/17'],19
Tricia Lange,"['https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/36', 'https://rickandmortyapi.com/api/episode/38', 'https://rickandmortyapi.com/api/episode/46']",19
Trunk Morty,['https://rickandmortyapi.com/api/episode/28'],19
Trunk Man,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/28']",19
Truth Tortoise,['https://rickandmortyapi.com/api/episode/29'],19
Tusked Assassin,['https://rickandmortyapi.com/api/episode/26'],19
Two Guys with Handlebar Mustaches,['https://rickandmortyapi.com/api/episode/8'],19
Tumblorkian,['https://rickandmortyapi.com/api/episode/19'],19
Unity,['https://rickandmortyapi.com/api/episode/14'],19
Unmuscular Michael,['https://rickandmortyapi.com/api/episode/8'],19
Vampire Master,['https://rickandmortyapi.com/api/episode/18'],19
Vance Maximus,['https://rickandmortyapi.com/api/episode/25'],19
Veronica Ann Bennet,['https://rickandmortyapi.com/api/episode/7'],19
Voltematron,['https://rickandmortyapi.com/api/episode/29'],19
Wall Crawling Rick,['https://rickandmortyapi.com/api/episode/22'],19
Wedding Bartender,['https://rickandmortyapi.com/api/episode/21'],19
Unknown Rick,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']",19
