name,episodes,page_num
Mr. Marklovitz,"['https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/16']",13
Mr. Meeseeks,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/32']",13
Mr. Needful,['https://rickandmortyapi.com/api/episode/9'],13
Mr. Poopybutthole,"['https://rickandmortyapi.com/api/episode/15', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/34', 'https://rickandmortyapi.com/api/episode/51']",13
Mrs. Lipkip,['https://rickandmortyapi.com/api/episode/30'],13
Mrs. Pancakes,"['https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/27']",13
Amy Poopybutthole,['https://rickandmortyapi.com/api/episode/31'],13
Mrs. Refrigerator,['https://rickandmortyapi.com/api/episode/15'],13
Mrs. Sanchez,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/14', 'https://rickandmortyapi.com/api/episode/30']",13
Mrs. Sullivan,['https://rickandmortyapi.com/api/episode/8'],13
Nancy,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/9', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/36']",13
Noob-Noob,['https://rickandmortyapi.com/api/episode/25'],13
Numbericon,['https://rickandmortyapi.com/api/episode/16'],13
Octopus Man,['https://rickandmortyapi.com/api/episode/19'],13
Orthodox Jew,['https://rickandmortyapi.com/api/episode/16'],13
Pat Gueterman,['https://rickandmortyapi.com/api/episode/21'],13
Paul Fleishman,['https://rickandmortyapi.com/api/episode/13'],13
Pawnshop Clerk,['https://rickandmortyapi.com/api/episode/7'],13
Pencilvester,['https://rickandmortyapi.com/api/episode/15'],13
Phillip Jacobs,['https://rickandmortyapi.com/api/episode/19'],13
