name,episodes,page_num
Anchosnake,['https://rickandmortyapi.com/api/episode/36'],30
Anchosnake,['https://rickandmortyapi.com/api/episode/36'],30
80's snake,['https://rickandmortyapi.com/api/episode/36'],30
Bar Customer,['https://rickandmortyapi.com/api/episode/36'],30
Bartender,['https://rickandmortyapi.com/api/episode/36'],30
PC Basketball Player,['https://rickandmortyapi.com/api/episode/36'],30
Cavesnake,['https://rickandmortyapi.com/api/episode/36'],30
Pet Shop Employee,['https://rickandmortyapi.com/api/episode/36'],30
Snake Reporter,['https://rickandmortyapi.com/api/episode/36'],30
High Pilot,['https://rickandmortyapi.com/api/episode/36'],30
High Pilot,['https://rickandmortyapi.com/api/episode/36'],30
Phoenixperson,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/49']",30
Tickets Please Guy,['https://rickandmortyapi.com/api/episode/37'],30
Floaty Bloody Man,['https://rickandmortyapi.com/api/episode/37'],30
Floaty Non-Gasm Brotherhood Member,['https://rickandmortyapi.com/api/episode/37'],30
Floaty Non-Gasm Brotherhood Member Friend,['https://rickandmortyapi.com/api/episode/37'],30
Abradolf Lincler,['https://rickandmortyapi.com/api/episode/37'],30
Biblesaurus,['https://rickandmortyapi.com/api/episode/37'],30
Birdperson,['https://rickandmortyapi.com/api/episode/37'],30
Cats Fan,['https://rickandmortyapi.com/api/episode/37'],30
