name,episodes,page_num
Campaign Manager Morty,['https://rickandmortyapi.com/api/episode/28'],4
Canklanker Thom,['https://rickandmortyapi.com/api/episode/1'],4
Centaur,['https://rickandmortyapi.com/api/episode/2'],4
Chris,['https://rickandmortyapi.com/api/episode/12'],4
Chris,['https://rickandmortyapi.com/api/episode/17'],4
Coach Feratu (Balik Alistane),['https://rickandmortyapi.com/api/episode/18'],4
Collector,['https://rickandmortyapi.com/api/episode/29'],4
Colossus,['https://rickandmortyapi.com/api/episode/23'],4
Commander Rick,['https://rickandmortyapi.com/api/episode/22'],4
Concerto,['https://rickandmortyapi.com/api/episode/24'],4
Conroy,['https://rickandmortyapi.com/api/episode/22'],4
Cool Rick,['https://rickandmortyapi.com/api/episode/28'],4
Cop Morty,['https://rickandmortyapi.com/api/episode/28'],4
Cop Rick,['https://rickandmortyapi.com/api/episode/28'],4
Courier Flap,['https://rickandmortyapi.com/api/episode/21'],4
Cousin Nicky,['https://rickandmortyapi.com/api/episode/15'],4
Cowboy Morty,['https://rickandmortyapi.com/api/episode/10'],4
Cowboy Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']",4
Crab Spider,['https://rickandmortyapi.com/api/episode/10'],4
Creepy Little Girl,['https://rickandmortyapi.com/api/episode/2'],4
