name,episodes,page_num
7+7 Years Old Morty,['https://rickandmortyapi.com/api/episode/51'],41
26 Years Old Morty,['https://rickandmortyapi.com/api/episode/51'],41
40 Years Old Morty,['https://rickandmortyapi.com/api/episode/51'],41
Andy,['https://rickandmortyapi.com/api/episode/51'],41
Baby Mouse Skin Morty,['https://rickandmortyapi.com/api/episode/51'],41
Metaphor for Capitalism,['https://rickandmortyapi.com/api/episode/51'],41
Beth Sanchez,['https://rickandmortyapi.com/api/episode/51'],41
Crow Scare,['https://rickandmortyapi.com/api/episode/51'],41
Pussifer,['https://rickandmortyapi.com/api/episode/51'],41
Stan Lee Rick,['https://rickandmortyapi.com/api/episode/51'],41
Re-Build-a-Morty Morty,['https://rickandmortyapi.com/api/episode/51'],41
Deformed Morty,['https://rickandmortyapi.com/api/episode/51'],41
Crow Horse,['https://rickandmortyapi.com/api/episode/51'],41
Bald Rick,['https://rickandmortyapi.com/api/episode/51'],41
Punk Rick,['https://rickandmortyapi.com/api/episode/51'],41
Party Rick,['https://rickandmortyapi.com/api/episode/51'],41
Scar Rick,['https://rickandmortyapi.com/api/episode/51'],41
Long Hair Rick,['https://rickandmortyapi.com/api/episode/51'],41
Redhead Rick,['https://rickandmortyapi.com/api/episode/51'],41
Redhead Morty,['https://rickandmortyapi.com/api/episode/51'],41
