name,episodes,page_num
Aqua Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']",2
Aqua Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']",2
Arcade Alien,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/26']",2
Armagheadon,['https://rickandmortyapi.com/api/episode/16'],2
Armothy,['https://rickandmortyapi.com/api/episode/23'],2
Arthricia,['https://rickandmortyapi.com/api/episode/20'],2
Artist Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/28']",2
Attila Starwar,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']",2
Baby Legs,['https://rickandmortyapi.com/api/episode/8'],2
Baby Poopybutthole,['https://rickandmortyapi.com/api/episode/31'],2
Baby Wizard,['https://rickandmortyapi.com/api/episode/15'],2
Bearded Lady,['https://rickandmortyapi.com/api/episode/15'],2
Beebo,['https://rickandmortyapi.com/api/episode/29'],2
Benjamin,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']",2
Bepisian,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/25']",2
Beta-Seven,['https://rickandmortyapi.com/api/episode/14'],2
Beth Sanchez,['https://rickandmortyapi.com/api/episode/8'],2
Beth Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']",2
Beth Smith,['https://rickandmortyapi.com/api/episode/10'],2
Beth's Mytholog,['https://rickandmortyapi.com/api/episode/18'],2
