name,episodes,page_num
Hydrogen-F,['https://rickandmortyapi.com/api/episode/16'],9
Ice-T,['https://rickandmortyapi.com/api/episode/16'],9
Ideal Jerry,['https://rickandmortyapi.com/api/episode/18'],9
Insurance Rick,['https://rickandmortyapi.com/api/episode/10'],9
Investigator Rick,['https://rickandmortyapi.com/api/episode/28'],9
Invisi-trooper,['https://rickandmortyapi.com/api/episode/31'],9
Izzy,['https://rickandmortyapi.com/api/episode/24'],9
Jackie,['https://rickandmortyapi.com/api/episode/7'],9
Jacob,"['https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/15']",9
Jacqueline,['https://rickandmortyapi.com/api/episode/27'],9
Jaguar,['https://rickandmortyapi.com/api/episode/24'],9
Jamey,['https://rickandmortyapi.com/api/episode/16'],9
Jan-Michael Vincent,['https://rickandmortyapi.com/api/episode/19'],9
Jerry 5-126,['https://rickandmortyapi.com/api/episode/13'],9
Jerry Smith,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/2', 'https://rickandmortyapi.com/api/episode/3', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/22']",9
Celebrity Jerry,['https://rickandmortyapi.com/api/episode/8'],9
Jerry Smith,['https://rickandmortyapi.com/api/episode/10'],9
Jerry's Mytholog,['https://rickandmortyapi.com/api/episode/18'],9
Jessica,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6']",9
Jessica,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/27', 'https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/29', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/32', 'https://rickandmortyapi.com/api/episode/39', 'https://rickandmortyapi.com/api/episode/42']",9
