name,episodes,page_num
Big Boobed Waitress,['https://rickandmortyapi.com/api/episode/5'],3
Big Head Morty,['https://rickandmortyapi.com/api/episode/22'],3
Big Morty,['https://rickandmortyapi.com/api/episode/28'],3
Body Guard Morty,['https://rickandmortyapi.com/api/episode/28'],3
Bill,['https://rickandmortyapi.com/api/episode/3'],3
Bill,['https://rickandmortyapi.com/api/episode/2'],3
Birdperson,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/49', 'https://rickandmortyapi.com/api/episode/51']",3
Black Rick,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/28']",3
Blamph,['https://rickandmortyapi.com/api/episode/19'],3
Blim Blam,['https://rickandmortyapi.com/api/episode/14'],3
Blue Diplomat,['https://rickandmortyapi.com/api/episode/19'],3
Blue Footprint Guy,['https://rickandmortyapi.com/api/episode/23'],3
Blue Shirt Morty,['https://rickandmortyapi.com/api/episode/10'],3
Bobby Moynihan,['https://rickandmortyapi.com/api/episode/8'],3
Boobloosian,"['https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']",3
Bootleg Portal Chemist Rick,['https://rickandmortyapi.com/api/episode/28'],3
Borpocian,['https://rickandmortyapi.com/api/episode/22'],3
Brad,"['https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/30', 'https://rickandmortyapi.com/api/episode/46']",3
Brad Anderson,['https://rickandmortyapi.com/api/episode/7'],3
Calypso,['https://rickandmortyapi.com/api/episode/25'],3
