name,episodes,page_num
Turkey President Curtis,['https://rickandmortyapi.com/api/episode/47'],39
Martínez,['https://rickandmortyapi.com/api/episode/47'],39
Marvin,['https://rickandmortyapi.com/api/episode/47'],39
Jackey,['https://rickandmortyapi.com/api/episode/47'],39
Native Alien,['https://rickandmortyapi.com/api/episode/47'],39
Pilgrim Alien,['https://rickandmortyapi.com/api/episode/47'],39
President Turkey,['https://rickandmortyapi.com/api/episode/47'],39
Mary-Lou,['https://rickandmortyapi.com/api/episode/47'],39
Big Fat rick,['https://rickandmortyapi.com/api/episode/48'],39
Hothead Rick,['https://rickandmortyapi.com/api/episode/48'],39
Ricardo Montoya,['https://rickandmortyapi.com/api/episode/48'],39
Wrap-it-up Little Rick,['https://rickandmortyapi.com/api/episode/48'],39
Yo-yo Rick,['https://rickandmortyapi.com/api/episode/48'],39
Voiceoverian,['https://rickandmortyapi.com/api/episode/48'],39
Voiceoverian,['https://rickandmortyapi.com/api/episode/48'],39
Gotron Pilot,['https://rickandmortyapi.com/api/episode/48'],39
Gotron Pilot,['https://rickandmortyapi.com/api/episode/48'],39
Gotron Pilot,['https://rickandmortyapi.com/api/episode/48'],39
Young Memory Rick,['https://rickandmortyapi.com/api/episode/49'],39
Memory Tammy,['https://rickandmortyapi.com/api/episode/49'],39
