name,episodes,page_num
Eyehole Man,['https://rickandmortyapi.com/api/episode/19'],7
Fart,['https://rickandmortyapi.com/api/episode/13'],7
Fat Morty,['https://rickandmortyapi.com/api/episode/28'],7
Father Bob,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/27']",7
Flansian,"['https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']",7
Fleeb,['https://rickandmortyapi.com/api/episode/19'],7
Frank Palicky,['https://rickandmortyapi.com/api/episode/1'],7
Frankenstein's Monster,['https://rickandmortyapi.com/api/episode/15'],7
Fulgora,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/17']",7
Galactic Federation President,['https://rickandmortyapi.com/api/episode/21'],7
Gar Gloonch,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']",7
Gar's Mytholog,['https://rickandmortyapi.com/api/episode/18'],7
Garblovian,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']",7
Garmanarnar,['https://rickandmortyapi.com/api/episode/8'],7
Garment District Rick,['https://rickandmortyapi.com/api/episode/28'],7
Gazorpazorpfield,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/13']",7
Gene,"['https://rickandmortyapi.com/api/episode/26', 'https://rickandmortyapi.com/api/episode/49']",7
General Nathan,['https://rickandmortyapi.com/api/episode/16'],7
General Store Owner,['https://rickandmortyapi.com/api/episode/20'],7
Genital Washer,['https://rickandmortyapi.com/api/episode/23'],7
