name,episodes,page_num
Rick's Garage,['https://rickandmortyapi.com/api/episode/49'],40
Memory Squanchy,['https://rickandmortyapi.com/api/episode/49'],40
Memory Rick,['https://rickandmortyapi.com/api/episode/49'],40
Memory Rick,['https://rickandmortyapi.com/api/episode/49'],40
Memory Geardude,['https://rickandmortyapi.com/api/episode/49'],40
Birdperson & Tammy's Child,['https://rickandmortyapi.com/api/episode/49'],40
Two Crows,"['https://rickandmortyapi.com/api/episode/50', 'https://rickandmortyapi.com/api/episode/51']",40
Mr. Cookie President,['https://rickandmortyapi.com/api/episode/50'],40
Nick,['https://rickandmortyapi.com/api/episode/50'],40
Harold (Garbage Goober),['https://rickandmortyapi.com/api/episode/50'],40
Harold's Wife,['https://rickandmortyapi.com/api/episode/50'],40
Alien Crow,['https://rickandmortyapi.com/api/episode/50'],40
Alien Crow,['https://rickandmortyapi.com/api/episode/50'],40
Samansky,['https://rickandmortyapi.com/api/episode/48'],40
Palicki,['https://rickandmortyapi.com/api/episode/48'],40
Sarge,['https://rickandmortyapi.com/api/episode/48'],40
Slartivartian,['https://rickandmortyapi.com/api/episode/44'],40
Ferkusian,['https://rickandmortyapi.com/api/episode/44'],40
Morglutzian,['https://rickandmortyapi.com/api/episode/44'],40
Super Turkey,['https://rickandmortyapi.com/api/episode/47'],40
