name,episodes,page_num
Adam's Mother,['https://rickandmortyapi.com/api/episode/42'],35
Warlock,['https://rickandmortyapi.com/api/episode/42'],35
Evolved Narnian,['https://rickandmortyapi.com/api/episode/42'],35
Mr. Nimbus Secretary,['https://rickandmortyapi.com/api/episode/42'],35
Evolved Narnian Disguised as Morty,['https://rickandmortyapi.com/api/episode/42'],35
Mr. Nimbus' Squid,['https://rickandmortyapi.com/api/episode/42'],35
Scarecrow Rick,['https://rickandmortyapi.com/api/episode/43'],35
Scarecrow Summer,['https://rickandmortyapi.com/api/episode/43'],35
Scarecrow Jerry,['https://rickandmortyapi.com/api/episode/43'],35
Scarecrow Morty,['https://rickandmortyapi.com/api/episode/43'],35
Scarecrow Beth,['https://rickandmortyapi.com/api/episode/43'],35
Glockenspiel Jerry,['https://rickandmortyapi.com/api/episode/43'],35
Glockenspiel Beth,['https://rickandmortyapi.com/api/episode/43'],35
Glockenspiel Rick,['https://rickandmortyapi.com/api/episode/43'],35
Glockenspiel Summer,['https://rickandmortyapi.com/api/episode/43'],35
Glockenspiel Morty,['https://rickandmortyapi.com/api/episode/43'],35
Wicker Beth,['https://rickandmortyapi.com/api/episode/43'],35
Wicker Rick,['https://rickandmortyapi.com/api/episode/43'],35
Wicker Morty,['https://rickandmortyapi.com/api/episode/43'],35
Wicker Summer,['https://rickandmortyapi.com/api/episode/43'],35
