name,episodes,page_num
Communication's Responsible Rick,['https://rickandmortyapi.com/api/episode/22'],24
Teleportation's Responsible Rick,['https://rickandmortyapi.com/api/episode/22'],24
SEAL Team Rick,['https://rickandmortyapi.com/api/episode/22'],24
SEAL Team Rick,['https://rickandmortyapi.com/api/episode/22'],24
SEAL Team Rick,['https://rickandmortyapi.com/api/episode/22'],24
SEAL Team Rick,['https://rickandmortyapi.com/api/episode/22'],24
Morphizer-XE Customer Support,['https://rickandmortyapi.com/api/episode/26'],24
Morphizer-XE Customer Support,['https://rickandmortyapi.com/api/episode/26'],24
Morphizer-XE Customer Support,['https://rickandmortyapi.com/api/episode/26'],24
Alien Spa Employee,['https://rickandmortyapi.com/api/episode/27'],24
Little Voltron,['https://rickandmortyapi.com/api/episode/27'],24
Baby Rick,['https://rickandmortyapi.com/api/episode/28'],24
Bartender Morty,['https://rickandmortyapi.com/api/episode/28'],24
Dancer Cowboy Morty,['https://rickandmortyapi.com/api/episode/28'],24
Dancer Morty,['https://rickandmortyapi.com/api/episode/28'],24
Flower Morty,['https://rickandmortyapi.com/api/episode/28'],24
Hairdresser Rick,['https://rickandmortyapi.com/api/episode/28'],24
Journalist Rick,['https://rickandmortyapi.com/api/episode/28'],24
Private Sector Rick,['https://rickandmortyapi.com/api/episode/28'],24
Purple Morty,['https://rickandmortyapi.com/api/episode/28'],24
