name,episodes,page_num
Taddy Mason,['https://rickandmortyapi.com/api/episode/20'],18
Taint Washer,['https://rickandmortyapi.com/api/episode/23'],18
Tammy Guetermann,"['https://rickandmortyapi.com/api/episode/5', 'https://rickandmortyapi.com/api/episode/6']",18
Tammy Guetermann,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/41']",18
Teacher Rick,['https://rickandmortyapi.com/api/episode/28'],18
Terry,['https://rickandmortyapi.com/api/episode/16'],18
President Curtis,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/31', 'https://rickandmortyapi.com/api/episode/43', 'https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/47']",18
The President of the Miniverse,['https://rickandmortyapi.com/api/episode/17'],18
The Scientist Formerly Known as Rick,['https://rickandmortyapi.com/api/episode/10'],18
Thomas Lipkip,['https://rickandmortyapi.com/api/episode/30'],18
Three Unknown Things,['https://rickandmortyapi.com/api/episode/8'],18
Tinkles,['https://rickandmortyapi.com/api/episode/15'],18
Tiny Rick,['https://rickandmortyapi.com/api/episode/18'],18
Toby Matthews,['https://rickandmortyapi.com/api/episode/18'],18
Todd Crystal,['https://rickandmortyapi.com/api/episode/14'],18
Tom Randolph,['https://rickandmortyapi.com/api/episode/3'],18
Tommy's Clone,['https://rickandmortyapi.com/api/episode/30'],18
Tophat Jones,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/21']",18
Tortured Morty,['https://rickandmortyapi.com/api/episode/10'],18
Toxic Morty,['https://rickandmortyapi.com/api/episode/27'],18
