name,episodes,page_num
Ron Benson,['https://rickandmortyapi.com/api/episode/14'],16
Ruben,['https://rickandmortyapi.com/api/episode/3'],16
Samantha,['https://rickandmortyapi.com/api/episode/5'],16
Scary Brandon,['https://rickandmortyapi.com/api/episode/2'],16
Scary Glenn,['https://rickandmortyapi.com/api/episode/2'],16
Scary Terry,['https://rickandmortyapi.com/api/episode/2'],16
Scroopy Noopers,['https://rickandmortyapi.com/api/episode/9'],16
Scropon,"['https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/21']",16
Scrotian,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']",16
Self-Congratulatory Jerry,['https://rickandmortyapi.com/api/episode/18'],16
Shimshamian,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/21', 'https://rickandmortyapi.com/api/episode/25']",16
Shlaammi,['https://rickandmortyapi.com/api/episode/19'],16
Shleemypants,"['https://rickandmortyapi.com/api/episode/12', 'https://rickandmortyapi.com/api/episode/36']",16
Shmlamantha Shmlicelli,['https://rickandmortyapi.com/api/episode/8'],16
Shmlangela Shmlobinson-Shmlower,['https://rickandmortyapi.com/api/episode/8'],16
Shmlona Shmlobinson,['https://rickandmortyapi.com/api/episode/8'],16
Shmlonathan Shmlower,['https://rickandmortyapi.com/api/episode/8'],16
Shmlony Shmlicelli,['https://rickandmortyapi.com/api/episode/8'],16
Shmooglite Runner,['https://rickandmortyapi.com/api/episode/26'],16
Shnoopy Bloopers,['https://rickandmortyapi.com/api/episode/26'],16
