name,episodes,page_num
Metal Rick,['https://rickandmortyapi.com/api/episode/43'],36
Gun Brain Rick,['https://rickandmortyapi.com/api/episode/43'],36
Mr. Always Wants to be Hunted,['https://rickandmortyapi.com/api/episode/43'],36
Squid Costume Beth,['https://rickandmortyapi.com/api/episode/43'],36
Squid Costume Jerry,['https://rickandmortyapi.com/api/episode/43'],36
Squid Costume Morty,['https://rickandmortyapi.com/api/episode/43'],36
Squid Costume Rick,['https://rickandmortyapi.com/api/episode/43'],36
Squid Costume Summer,['https://rickandmortyapi.com/api/episode/43'],36
Dracula,['https://rickandmortyapi.com/api/episode/43'],36
Steve,['https://rickandmortyapi.com/api/episode/43'],36
When Wolf,['https://rickandmortyapi.com/api/episode/43'],36
Too Cute to Murder Beth,['https://rickandmortyapi.com/api/episode/43'],36
Too Cute to Murder Rick,['https://rickandmortyapi.com/api/episode/43'],36
Too Cute to Murder Jerry,['https://rickandmortyapi.com/api/episode/43'],36
Too Cute to Murder Morty,['https://rickandmortyapi.com/api/episode/43'],36
Too Cute to Murder Summer,['https://rickandmortyapi.com/api/episode/43'],36
Planetina,['https://rickandmortyapi.com/api/episode/44'],36
Daphne,['https://rickandmortyapi.com/api/episode/44'],36
Diesel Weasel,['https://rickandmortyapi.com/api/episode/44'],36
Eddie,['https://rickandmortyapi.com/api/episode/44'],36
