name,episodes,page_num
Netflix Executive,['https://rickandmortyapi.com/api/episode/34'],29
Balthromaw,['https://rickandmortyapi.com/api/episode/35'],29
The Wizard,['https://rickandmortyapi.com/api/episode/35'],29
Talking Cat,['https://rickandmortyapi.com/api/episode/35'],29
Debrah,['https://rickandmortyapi.com/api/episode/35'],29
Debrah’s Partner,['https://rickandmortyapi.com/api/episode/35'],29
Michael,['https://rickandmortyapi.com/api/episode/35'],29
Slut Dragon,['https://rickandmortyapi.com/api/episode/35'],29
Shadow Jacker,['https://rickandmortyapi.com/api/episode/35'],29
Chachi,['https://rickandmortyapi.com/api/episode/35'],29
Slippy,['https://rickandmortyapi.com/api/episode/36'],29
Robot Snake,['https://rickandmortyapi.com/api/episode/36'],29
Snake Hitler,['https://rickandmortyapi.com/api/episode/36'],29
Snake Lincoln,['https://rickandmortyapi.com/api/episode/36'],29
Snake Resistance Robot,['https://rickandmortyapi.com/api/episode/36'],29
Snake Linguist,['https://rickandmortyapi.com/api/episode/36'],29
Snake Terminator,['https://rickandmortyapi.com/api/episode/36'],29
Snake Soldier,['https://rickandmortyapi.com/api/episode/36'],29
Snake with Legs,['https://rickandmortyapi.com/api/episode/36'],29
Secret Service Snake,['https://rickandmortyapi.com/api/episode/36'],29
