name,episodes,page_num
Jessica's Friend,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/4', 'https://rickandmortyapi.com/api/episode/6', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/18', 'https://rickandmortyapi.com/api/episode/25', 'https://rickandmortyapi.com/api/episode/27']",10
Jim,['https://rickandmortyapi.com/api/episode/16'],10
Johnny Depp,['https://rickandmortyapi.com/api/episode/8'],10
Jon,['https://rickandmortyapi.com/api/episode/8'],10
Joseph Eli Lipkip,['https://rickandmortyapi.com/api/episode/30'],10
Joyce Smith,['https://rickandmortyapi.com/api/episode/3'],10
Juggling Rick,['https://rickandmortyapi.com/api/episode/28'],10
Karen Entity,['https://rickandmortyapi.com/api/episode/14'],10
Katarina,['https://rickandmortyapi.com/api/episode/24'],10
Keara,['https://rickandmortyapi.com/api/episode/30'],10
Kevin,['https://rickandmortyapi.com/api/episode/4'],10
King Flippy Nips,['https://rickandmortyapi.com/api/episode/9'],10
King Jellybean,['https://rickandmortyapi.com/api/episode/5'],10
Kozbian,['https://rickandmortyapi.com/api/episode/21'],10
Kristen Stewart,['https://rickandmortyapi.com/api/episode/8'],10
Krombopulos Michael,['https://rickandmortyapi.com/api/episode/13'],10
Kyle,['https://rickandmortyapi.com/api/episode/17'],10
Lady Katana,['https://rickandmortyapi.com/api/episode/25'],10
Larva Alien,"['https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/19', 'https://rickandmortyapi.com/api/episode/21']",10
Lawyer Morty,['https://rickandmortyapi.com/api/episode/22'],10
