name,episodes,page_num
Ghost in a Jar,['https://rickandmortyapi.com/api/episode/15'],8
Gibble Snake,['https://rickandmortyapi.com/api/episode/26'],8
Glasses Morty,['https://rickandmortyapi.com/api/episode/28'],8
Glenn,['https://rickandmortyapi.com/api/episode/1'],8
Glenn,['https://rickandmortyapi.com/api/episode/8'],8
Glexo Slim Slom,['https://rickandmortyapi.com/api/episode/18'],8
Gobo,['https://rickandmortyapi.com/api/episode/29'],8
Goddess Beth,['https://rickandmortyapi.com/api/episode/18'],8
Gordon Lunas,['https://rickandmortyapi.com/api/episode/29'],8
Cornvelious Daniel,['https://rickandmortyapi.com/api/episode/22'],8
Gwendolyn,['https://rickandmortyapi.com/api/episode/7'],8
Hammerhead Morty,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/22']",8
Hamster In Butt,"['https://rickandmortyapi.com/api/episode/8', 'https://rickandmortyapi.com/api/episode/19']",8
Hamurai,['https://rickandmortyapi.com/api/episode/15'],8
Harold,['https://rickandmortyapi.com/api/episode/6'],8
Hemorrhage,['https://rickandmortyapi.com/api/episode/23'],8
Hole in the Wall Where the Men Can See it All,['https://rickandmortyapi.com/api/episode/8'],8
Hookah Alien,['https://rickandmortyapi.com/api/episode/1'],8
Hunter,['https://rickandmortyapi.com/api/episode/17'],8
Hunter's Father,['https://rickandmortyapi.com/api/episode/17'],8
