name,episodes,page_num
Woman Rick,['https://rickandmortyapi.com/api/episode/10'],20
Worldender,['https://rickandmortyapi.com/api/episode/25'],20
Yaarb,['https://rickandmortyapi.com/api/episode/19'],20
Yellow Headed Doctor,['https://rickandmortyapi.com/api/episode/19'],20
Yellow Shirt Rick,['https://rickandmortyapi.com/api/episode/22'],20
Zarbadar Gloonch,"['https://rickandmortyapi.com/api/episode/13', 'https://rickandmortyapi.com/api/episode/18']",20
Zarbadar's Mytholog,['https://rickandmortyapi.com/api/episode/18'],20
Zeep Xanflorp,['https://rickandmortyapi.com/api/episode/17'],20
Zeta Alpha Rick,"['https://rickandmortyapi.com/api/episode/10', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/51']",20
Zick Zack,['https://rickandmortyapi.com/api/episode/29'],20
Uncle Steve,['https://rickandmortyapi.com/api/episode/15'],20
Bearded Morty,"['https://rickandmortyapi.com/api/episode/28', 'https://rickandmortyapi.com/api/episode/51']",20
Roy,['https://rickandmortyapi.com/api/episode/13'],20
Davin,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/6']",20
Greebybobe,"['https://rickandmortyapi.com/api/episode/1', 'https://rickandmortyapi.com/api/episode/11', 'https://rickandmortyapi.com/api/episode/16', 'https://rickandmortyapi.com/api/episode/25']",20
Scary Teacher,['https://rickandmortyapi.com/api/episode/2'],20
Fido,['https://rickandmortyapi.com/api/episode/2'],20
Accountant dog,['https://rickandmortyapi.com/api/episode/2'],20
Tiny-persons advocacy group lawyer,['https://rickandmortyapi.com/api/episode/5'],20
Giant Judge,['https://rickandmortyapi.com/api/episode/5'],20
