name,episodes,page_num
Retired General Rick,['https://rickandmortyapi.com/api/episode/28'],25
Secret Service Rick,['https://rickandmortyapi.com/api/episode/28'],25
Steve Jobs Rick,['https://rickandmortyapi.com/api/episode/28'],25
Sheik Rick,['https://rickandmortyapi.com/api/episode/28'],25
Modern Rick,['https://rickandmortyapi.com/api/episode/28'],25
Tan Rick,['https://rickandmortyapi.com/api/episode/28'],25
Visor Rick,['https://rickandmortyapi.com/api/episode/28'],25
Colonial Rick,['https://rickandmortyapi.com/api/episode/28'],25
P-Coat Rick,['https://rickandmortyapi.com/api/episode/28'],25
Chang,['https://rickandmortyapi.com/api/episode/29'],25
Dr. Eleanor Arroway,['https://rickandmortyapi.com/api/episode/29'],25
Varrix,['https://rickandmortyapi.com/api/episode/30'],25
Secretary of the Interior,['https://rickandmortyapi.com/api/episode/31'],25
Crystal Poacher,['https://rickandmortyapi.com/api/episode/32'],25
Crystal Poacher,['https://rickandmortyapi.com/api/episode/32'],25
Crystal Poacher,['https://rickandmortyapi.com/api/episode/32'],25
Hologram Rick,['https://rickandmortyapi.com/api/episode/32'],25
Fascist Rick,['https://rickandmortyapi.com/api/episode/32'],25
Fascist Morty,['https://rickandmortyapi.com/api/episode/32'],25
Fascist Mr. President,['https://rickandmortyapi.com/api/episode/32'],25
