product_name,price,images
Gatih Electric Waffle Iron Waffle Maker,1999,"['https://n1.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-1-bba04.jpg', 'https://n2.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-2-46e26.jpg', 'https://n4.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-3-e250b.jpg', 'https://n4.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-4-8ea4c.jpg', 'https://n4.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-5-c5acb.jpg', 'https://n2.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-6-081f2.jpg', 'https://n2.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-7-8f2aa.jpg', 'https://n1.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-8-49af4.jpg', 'https://n2.sdlcdn.com/imgs/k/s/4/130x152/Gatih-Electric-Waffle-Iron-Waffle-SDL553357479-9-05edd.jpg']"
RAMDEV ENTERPRISE Waffle Maker Home. Waffle Maker,1799,"['https://n2.sdlcdn.com/imgs/k/p/c/130x152/RAMDEV-ENTERPRISE-Waffle-Maker-Home-SDL155692085-1-5e539.jpg', 'https://n3.sdlcdn.com/imgs/k/p/c/130x152/RAMDEV-ENTERPRISE-Waffle-Maker-Home-SDL155692085-2-80463.jpg', 'https://n2.sdlcdn.com/imgs/k/p/c/130x152/RAMDEV-ENTERPRISE-Waffle-Maker-Home-SDL155692085-3-92035.jpg', 'https://n2.sdlcdn.com/imgs/k/p/c/130x152/RAMDEV-ENTERPRISE-Waffle-Maker-Home-SDL155692085-4-925dd.jpg', 'https://n1.sdlcdn.com/imgs/k/p/c/130x152/RAMDEV-ENTERPRISE-Waffle-Maker-Home-SDL155692085-5-5f63b.jpg', 'https://n2.sdlcdn.com/imgs/k/p/c/130x152/RAMDEV-ENTERPRISE-Waffle-Maker-Home-SDL155692085-6-78bd3.jpg']"
HomePro-Non Stick Waffle Maker & Bread Toaster Bakelite Handle Combo Pack,1690,"['https://n2.sdlcdn.com/imgs/k/n/e/130x152/HomePro-Waffle-Maker-Waffle-Maker-SDL629805506-1-8f386.jpg', 'https://n4.sdlcdn.com/imgs/k/n/e/130x152/HomePro-Waffle-Maker-Waffle-Maker-SDL629805506-2-39141.jpg', 'https://n4.sdlcdn.com/imgs/k/n/e/130x152/HomePro-Waffle-Maker-Waffle-Maker-SDL629805506-3-dc053.jpg', 'https://n2.sdlcdn.com/imgs/k/n/e/130x152/HomePro-Waffle-Maker-Waffle-Maker-SDL629805506-4-17552.jpg', 'https://n4.sdlcdn.com/imgs/k/n/e/130x152/HomePro-Waffle-Maker-Waffle-Maker-SDL629805506-5-80e11.jpg']"
Okasta popcorn maker 1200 Watts Roti Maker,3599,"['https://n1.sdlcdn.com/imgs/k/t/2/130x152/Okasta-popcorn-maker-1200-Watts-SDL824931071-1-7286f.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/Okasta-popcorn-maker-1200-Watts-SDL824931071-2-64464.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/Okasta-popcorn-maker-1200-Watts-SDL824931071-3-4685f.jpg', 'https://n2.sdlcdn.com/imgs/k/t/2/130x152/Okasta-popcorn-maker-1200-Watts-SDL824931071-4-93137.jpg']"
KALPVRUKSH ENTERPRISE 1 Waffle Maker,1799,"['https://n4.sdlcdn.com/imgs/k/q/q/130x152/KALPVRUKSH-ENTERPRISE-1-Waffle-Maker-SDL723716854-1-217e5.jpg', 'https://n4.sdlcdn.com/imgs/k/q/q/130x152/KALPVRUKSH-ENTERPRISE-1-Waffle-Maker-SDL723716854-2-bde40.jpg', 'https://n4.sdlcdn.com/imgs/k/q/q/130x152/KALPVRUKSH-ENTERPRISE-1-Waffle-Maker-SDL723716854-3-0aea1.jpg', 'https://n3.sdlcdn.com/imgs/k/q/q/130x152/KALPVRUKSH-ENTERPRISE-1-Waffle-Maker-SDL723716854-4-adcfb.jpg', 'https://n2.sdlcdn.com/imgs/k/q/q/130x152/KALPVRUKSH-ENTERPRISE-1-Waffle-Maker-SDL723716854-5-b8f7a.jpg', 'https://n2.sdlcdn.com/imgs/k/q/q/130x152/KALPVRUKSH-ENTERPRISE-1-Waffle-Maker-SDL723716854-6-6aaa8.jpg']"
Shopper52 Electric Lunch Box Snack Maker,1499,"['https://n2.sdlcdn.com/imgs/k/p/c/130x152/Shopper52-Electric-Lunch-Box-Snack-SDL698831323-1-dffad.jpg', 'https://n1.sdlcdn.com/imgs/k/p/c/130x152/Shopper52-Electric-Lunch-Box-Snack-SDL698831323-2-fc70a.jpg', 'https://n4.sdlcdn.com/imgs/k/p/c/130x152/Shopper52-Electric-Lunch-Box-Snack-SDL698831323-3-d3727.jpg', 'https://n3.sdlcdn.com/imgs/k/p/c/130x152/Shopper52-Electric-Lunch-Box-Snack-SDL698831323-4-0ad22.jpg', 'https://n1.sdlcdn.com/imgs/k/p/c/130x152/Shopper52-Electric-Lunch-Box-Snack-SDL698831323-5-875df.jpg', 'https://n1.sdlcdn.com/imgs/k/p/c/130x152/Shopper52-Electric-Lunch-Box-Snack-SDL698831323-6-02b03.jpg']"
