product_name,price,images
Blowhot BL- 100 Induction 2000 Watt Induction Cooktop,3990,"['https://n1.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-100-Induction-2000-SDL395023665-1-80fa4.jpg', 'https://n2.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-100-Induction-2000-SDL395023665-2-46207.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-100-Induction-2000-SDL395023665-3-87b19.jpg', 'https://n4.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-100-Induction-2000-SDL395023665-4-2428e.jpg', 'https://n1.sdlcdn.com/imgs/k/s/f/130x152/Blowhot-BL-100-Induction-2000-SDL395023665-5-f19a0.jpg']"
Wonderchef Induction Cooktop 1400 Watt Induction Cooktop,3750,"['https://n2.sdlcdn.com/imgs/k/t/d/130x152/Wonderchef-Induction-Cooktop-1400-Watt-SDL292328375-1-7ab46.jpg', 'https://n3.sdlcdn.com/imgs/k/t/d/130x152/Wonderchef-Induction-Cooktop-1400-Watt-SDL292328375-2-53484.jpg', 'https://n2.sdlcdn.com/imgs/k/t/d/130x152/Wonderchef-Induction-Cooktop-1400-Watt-SDL292328375-3-9b81b.jpg', 'https://n3.sdlcdn.com/imgs/k/t/d/130x152/Wonderchef-Induction-Cooktop-1400-Watt-SDL292328375-4-9dad2.jpg', 'https://n3.sdlcdn.com/imgs/k/t/d/130x152/Wonderchef-Induction-Cooktop-1400-Watt-SDL292328375-5-7fcad.jpg', 'https://n4.sdlcdn.com/imgs/k/t/d/130x152/Wonderchef-Induction-Cooktop-1400-Watt-SDL292328375-6-a99b4.jpg']"
pablos PB001 2000 Watt Induction Cooktop,5999,"['https://n3.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL638571742-1-b5793.jpg', 'https://n1.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL638571742-2-87688.jpg', 'https://n2.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL638571742-3-f0fe2.jpg', 'https://n3.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL638571742-4-e5fd1.jpg', 'https://n4.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL638571742-5-86d03.jpg', 'https://n1.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL638571742-6-3f626.jpg']"
Blowhot A - 10 Induction 2000 Watt Induction Cooktop,2990,"['https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-1-664df.png', 'https://n3.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-2-5773a.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-3-a6a4d.png', 'https://n2.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-4-103ee.png', 'https://n3.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-5-4d774.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-6-73533.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-7-4d455.png', 'https://n2.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL393098254-8-be4eb.jpg']"
GREEN KIWWI GK001 2000 Watt Induction Cooktop,5999,"['https://n4.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL924600043-1-d87af.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL924600043-2-13fb1.jpg', 'https://n3.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL924600043-3-16c89.jpg', 'https://n2.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL924600043-4-9099b.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL924600043-5-69bc4.jpg', 'https://n2.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL924600043-6-a9883.jpg']"
Blowhot A - 10 Induction 2000 Watt Induction Cooktop,2990,"['https://n2.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-1-11ad8.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-2-3f004.png', 'https://n4.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-3-96d39.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-4-657b5.png', 'https://n3.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-5-7ceed.png', 'https://n2.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-6-d0222.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-7-659c5.png', 'https://n3.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A-10-Induction-2000-SDL485612481-8-ea03d.png']"
Leben Tree M1 2C 2000 Watt Induction Cooktop,2999,"['https://n3.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-2C-2000-SDL040714739-1-13b5a.jpg', 'https://n4.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-2C-2000-SDL040714739-2-dbb91.jpg', 'https://n3.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-2C-2000-SDL040714739-3-6fae6.jpg', 'https://n3.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-2C-2000-SDL040714739-4-7daab.jpg', 'https://n4.sdlcdn.com/imgs/k/u/s/130x152/Leben-Tree-M1-2C-2000-SDL040714739-5-09240.jpg']"
GREEN KIWWI GK001 2000 Watt Induction Cooktop,5999,"['https://n1.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL921939225-1-82f49.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL921939225-2-8b868.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL921939225-3-ae2e9.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL921939225-4-6e74f.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL921939225-5-11063.jpg', 'https://n2.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL921939225-6-87fc9.jpg']"
GREEN KIWWI GK001 2000 Watt Induction Cooktop,5999,"['https://n2.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL879922916-1-2770e.jpg', 'https://n3.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL879922916-2-9f6ea.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL879922916-3-131b1.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL879922916-4-fa58b.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL879922916-5-7109b.jpg', 'https://n3.sdlcdn.com/imgs/k/t/2/130x152/GREEN-KIWWI-GK001-2000-Watt-SDL879922916-6-393ea.jpg']"
Frontline VF001 2000 Watt Induction Cooktop,3999,"['https://n2.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL847095224-1-23387.jpg', 'https://n3.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL847095224-2-fd3ee.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL847095224-3-b0a4f.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL847095224-4-cbd11.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL847095224-5-09d56.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL847095224-6-21c3f.jpg']"
Frontline VF001 2000 Watt Induction Cooktop,3999,"['https://n4.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL840351777-1-86eb1.jpg', 'https://n2.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL840351777-2-5086d.jpg', 'https://n3.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL840351777-3-58cad.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL840351777-4-9ad1f.jpg', 'https://n3.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL840351777-5-9a04a.jpg', 'https://n4.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL840351777-6-c6e52.jpg']"
pablos PB001 2000 Watt Induction Cooktop,5999,"['https://n3.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL614075606-1-93d9c.jpg', 'https://n3.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL614075606-2-9e898.jpg', 'https://n2.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL614075606-3-6ee58.jpg', 'https://n4.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL614075606-4-762b5.jpg', 'https://n4.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL614075606-5-9da3d.jpg', 'https://n3.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL614075606-6-82dcd.jpg']"
Blowhot BL- 100 Induction 2000 Watt Induction Cooktop,3990,"['https://n1.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-BL-100-Induction-2000-SDL532134577-1-1a31c.jpg', 'https://n1.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-BL-100-Induction-2000-SDL532134577-2-a5279.jpg', 'https://n3.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-BL-100-Induction-2000-SDL532134577-3-4e5c4.jpg', 'https://n3.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-BL-100-Induction-2000-SDL532134577-4-14362.jpg', 'https://n3.sdlcdn.com/imgs/k/r/g/130x152/Blowhot-BL-100-Induction-2000-SDL532134577-5-0bb7b.jpg']"
Frontline VF001 2000 Watt Induction Cooktop,3999,"['https://n3.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL849639196-1-eb223.jpg', 'https://n2.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL849639196-2-6efa4.jpg', 'https://n3.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL849639196-3-77550.jpg', 'https://n2.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL849639196-4-b75b6.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL849639196-5-ba6bc.jpg', 'https://n1.sdlcdn.com/imgs/k/t/2/130x152/Frontline-VF001-2000-Watt-Induction-SDL849639196-6-72c65.jpg']"
Blowhot A9 - Induction 2000 Watt Induction Cooktop,2990,"['https://n3.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-1-09047.png', 'https://n3.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-2-dbca5.png', 'https://n4.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-3-f441b.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-4-8d00a.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-5-1ef97.png', 'https://n1.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-6-0884c.png', 'https://n2.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-7-2edf6.png', 'https://n2.sdlcdn.com/imgs/k/t/7/130x152/Blowhot-A9-Induction-2000-Watt-SDL390044272-8-47abf.jpg']"
pablos PB001 2000 Watt Induction Cooktop,5999,"['https://n3.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL626531936-1-dc429.jpg', 'https://n1.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL626531936-2-0fd14.jpg', 'https://n4.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL626531936-3-80232.jpg', 'https://n2.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL626531936-4-34841.jpg', 'https://n1.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL626531936-5-ef08c.jpg', 'https://n3.sdlcdn.com/imgs/k/s/5/130x152/pablos-PB001-2000-Watt-Induction-SDL626531936-6-e2d08.jpg']"
Blowhot BL -600 2000 Watt Induction Cooktop,3990,"['https://n1.sdlcdn.com/imgs/k/w/f/130x152/Blowhot-BL-600-2000-Watt-SDL724930081-1-5782d.jpg', 'https://n4.sdlcdn.com/imgs/k/w/f/130x152/Blowhot-BL-600-2000-Watt-SDL724930081-2-fa67d.jpg', 'https://n4.sdlcdn.com/imgs/k/w/f/130x152/Blowhot-BL-600-2000-Watt-SDL724930081-3-1d712.jpg', 'https://n1.sdlcdn.com/imgs/k/w/f/130x152/Blowhot-BL-600-2000-Watt-SDL724930081-4-c6738.jpg', 'https://n3.sdlcdn.com/imgs/k/w/f/130x152/Blowhot-BL-600-2000-Watt-SDL724930081-5-7874d.jpg']"
