product_name,price,images
Arjun RO Filter,999,['https://n2.sdlcdn.com/imgs/i/1/u/130x152/Arjun-RO-1-spun-1-SDL573011939-1-f21f0.jpeg']
KEMFLO SPUN Filter / PRE Filter Cartridge - Pack of 4 *Pureite,999,['https://n4.sdlcdn.com/imgs/e/n/d/130x152/Live-Pure-Mineral-RO-Filter-SDL612503434-1-016c6.jpg']
Homepro Manual 16 Ltr Stainless Steel Water Filter purifiers with 1 Ceramic Candle,2222,"['https://n1.sdlcdn.com/imgs/k/m/b/130x152/HomePro-Stainless-Steel-Water-Filter-SDL507299982-1-b20d6.jpg', 'https://n2.sdlcdn.com/imgs/k/o/o/130x152/HomePro-Stainless-Steel-Water-Filter-SDL507299982-2-797c1.png', 'https://n2.sdlcdn.com/imgs/k/m/b/130x152/HomePro-Stainless-Steel-Water-Filter-SDL507299982-3-79e28.jpg', 'https://n1.sdlcdn.com/imgs/k/m/b/130x152/HomePro-Stainless-Steel-Water-Filter-SDL507299982-4-bfde0.jpg', 'https://n4.sdlcdn.com/imgs/k/m/b/130x152/HomePro-Stainless-Steel-Water-Filter-SDL507299982-5-d353b.jpg', 'https://n4.sdlcdn.com/imgs/k/m/b/130x152/HomePro-Stainless-Steel-Water-Filter-SDL507299982-2-82e30.jpg']"
Adjustable Kitchen Splash Shower Faucet Sprinkler Head Nozzle Bathroom Tap Water-Saving Faucet Regulator Shower,599,"['https://n2.sdlcdn.com/imgs/j/m/7/130x152/Adjustable-Kitchen-Splash-Shower-Faucet-SDL847360073-1-d62b4.jpg', 'https://n4.sdlcdn.com/imgs/k/w/e/130x152/SDL847360073-2bc2a.jpg', 'https://n4.sdlcdn.com/imgs/j/m/7/130x152/Adjustable-Kitchen-Splash-Shower-Faucet-SDL847360073-2-31058.jpg', 'https://n1.sdlcdn.com/imgs/j/m/7/130x152/Adjustable-Kitchen-Splash-Shower-Faucet-SDL847360073-3-ddcb8.jpg']"
Maximize 360 Degree Rotating ABS Silicone and Stainless Steel Sprinkler Faucet,599,"['https://n4.sdlcdn.com/imgs/k/u/y/130x152/Image_1_jpeg-9c502.png', 'https://n4.sdlcdn.com/imgs/k/u/y/130x152/Image_2_jpeg-7a435.Jpg', 'https://n4.sdlcdn.com/imgs/k/u/y/130x152/Image_3_jpeg-42144.jpg', 'https://n2.sdlcdn.com/imgs/k/u/y/130x152/Image_4_jpeg-91d01.jpeg', 'https://n2.sdlcdn.com/imgs/k/u/y/130x152/Image_5-f9572.jpeg', 'https://n4.sdlcdn.com/imgs/k/u/y/130x152/Image_6-c2674.jpeg', 'https://n3.sdlcdn.com/imgs/k/u/y/130x152/Image_7-bc3f0.jpeg', 'https://n4.sdlcdn.com/imgs/k/u/y/130x152/Image_8-abd5b.jpeg', 'https://n4.sdlcdn.com/imgs/j/m/u/130x152/Maximize-360-Degree-Rotating-ABS-SDL979974542-1-d2a26.jpg', 'https://n3.sdlcdn.com/imgs/j/m/u/130x152/Maximize-360-Degree-Rotating-ABS-SDL979974542-2-3be6e.jpg', 'https://n1.sdlcdn.com/imgs/j/m/u/130x152/Maximize-360-Degree-Rotating-ABS-SDL979974542-3-d45e6.jpg']"
ROYAL AQUA GRAND + Service,999,['https://n4.sdlcdn.com/imgs/i/8/c/130x152/ROYAL-AQUA-GRAND-Service-SDL325306852-1-15516.jpeg']
Housing Bowl/2 Spun/Wrench Key,999,['https://n4.sdlcdn.com/imgs/i/0/j/130x152/Arjun-RO-Housing-Bowl-2-SDL376363416-1-ecf05.jpeg']
LAXMI Water Softner Filter/Tap Shower Sprinkler head Plastic Shower (PACK OF 5) - Filter Compatible with Non Electric Water Purifiers,899,"['https://n1.sdlcdn.com/imgs/k/k/5/130x152/LAXMI-Water-Softner-Filter-Tap-SDL673393492-1-68e7d.jpg', 'https://n4.sdlcdn.com/imgs/k/k/5/130x152/LAXMI-Water-Softner-Filter-Tap-SDL673393492-2-1445f.jpg', 'https://n1.sdlcdn.com/imgs/k/k/5/130x152/LAXMI-Water-Softner-Filter-Tap-SDL673393492-3-f00c7.jpg', 'https://n1.sdlcdn.com/imgs/k/k/5/130x152/LAXMI-Water-Softner-Filter-Tap-SDL673393492-4-1eee5.jpg', 'https://n1.sdlcdn.com/imgs/k/k/5/130x152/LAXMI-Water-Softner-Filter-Tap-SDL673393492-5-9c619.jpg']"
Digital TDS-3 Tds Meter Water Purity Tester Portable Pocket PPM Water Filter Quality Measuring TDS Meter,699,"['https://n2.sdlcdn.com/imgs/j/q/b/130x152/Digital_TDS_Meter_for_Water_SDL875364625_1_35680-27c44.jpg', 'https://n3.sdlcdn.com/imgs/j/q/b/130x152/meter_25249-2a7d8.jpg', 'https://n2.sdlcdn.com/imgs/j/q/b/130x152/Tds3_Meter_Water_Purity_Tester_SDL650422503_4_d43be_ff310-d39a3.jpeg', 'https://n1.sdlcdn.com/imgs/j/q/b/130x152/wasser_logo_bottom15ye_006fe_edit_fb4c3-41f1c.jpg']"
"Original Pp Spun Filter 10 Inch Cartridge Solid Filter Cartridge  (0.005, Pack of 4)",999,['https://n4.sdlcdn.com/imgs/j/t/d/130x152/Original-Pp-Spun-Filter-10-SDL069144035-1-50bcc.jpeg']
