product_name,price,images
Crypton Egg Boiler 1 Ltr Egg Boilers,899,"['https://n3.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-1-f771e.jpg', 'https://n1.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-2-39d05.jpg', 'https://n1.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-3-76e5e.jpg', 'https://n3.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-4-3522b.jpeg', 'https://n2.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-5-a1286.jpeg', 'https://n2.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-6-13879.jpg', 'https://n2.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-7-71bd7.jpg', 'https://n4.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-8-6c777.jpg', 'https://n4.sdlcdn.com/imgs/j/x/p/130x152/DREAMSKART-egg-boiler-0-5-SDL355671232-9-a0707.jpg']"
"Presto Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",1999,"['https://n1.sdlcdn.com/imgs/f/r/9/130x152/presto-life-egg-boiler-steamer-SDL569524904-1-9f2a0.jpg', 'https://n2.sdlcdn.com/imgs/j/s/0/130x152/tbkseggboiler123_alakhs_original_imafu4wqahdndfwz-096be.jpeg']"
"BRAHMANI Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying, Multi Colour",1999,"['https://n2.sdlcdn.com/imgs/j/o/y/130x152/BRAHMANI-SALES-Egg-Boilers-1-SDL786279998-2-5e1c1.jpeg', 'https://n2.sdlcdn.com/imgs/j/o/y/130x152/BRAHMANI-SALES-Egg-Boilers-1-SDL786279998-4-731a1.jpeg', 'https://n1.sdlcdn.com/imgs/j/o/y/130x152/BRAHMANI-SALES-Egg-Boilers-1-SDL786279998-5-f5d86.jpeg', 'https://n1.sdlcdn.com/imgs/j/o/y/130x152/BRAHMANI-SALES-Egg-Boilers-1-SDL786279998-3-0eb9e.jpeg', 'https://n1.sdlcdn.com/imgs/j/o/y/130x152/BRAHMANI-SALES-Egg-Boilers-1-SDL786279998-1-31b6a.jpeg']"
HSR 1 Ltr Egg Boilers,1999,"['https://n4.sdlcdn.com/imgs/i/i/t/130x152/HSR-7-Egg-Electric-Egg-SDL313305401-1-d8ee3.jpg', 'https://n3.sdlcdn.com/imgs/i/i/t/130x152/HSR-7-Egg-Electric-Egg-SDL313305401-2-a5aae.jpg', 'https://n4.sdlcdn.com/imgs/i/i/t/130x152/HSR-7-Egg-Electric-Egg-SDL313305401-3-6721c.jpg', 'https://n3.sdlcdn.com/imgs/i/i/t/130x152/HSR-7-Egg-Electric-Egg-SDL313305401-4-557a9.jpg', 'https://n4.sdlcdn.com/imgs/i/i/t/130x152/HSR-7-Egg-Electric-Egg-SDL313305401-5-bdedd.jpg']"
Urban Choice EGG BOILER PLAIN 0.5 Ltr Egg Boilers,1999,"['https://n3.sdlcdn.com/imgs/i/2/s/130x152/Urban-Choice-EGG-BOILER-PLAIN-SDL932915824-1-ffd91.jpeg', 'https://n4.sdlcdn.com/imgs/i/2/s/130x152/Urban-Choice-EGG-BOILER-PLAIN-SDL932915824-2-dd653.jpeg', 'https://n2.sdlcdn.com/imgs/i/2/s/130x152/Urban-Choice-EGG-BOILER-PLAIN-SDL932915824-3-f44be.jpeg']"
Hsr/GTB BOILER003-PNK Egg Boilers_Colour May Vary as per stock availability,1999,['https://n3.sdlcdn.com/imgs/d/3/p/130x152/Hsr-HSRBOILER003-PNK-Egg-Boilers-SDL153986113-1-24032.jpg']
Monet Egg Cooker 0.5 Ltr Egg Boilers,1999,"['https://n4.sdlcdn.com/imgs/i/i/t/130x152/Monet-Egg-Cooker-0-5-SDL658959235-1-445ed.jpg', 'https://n3.sdlcdn.com/imgs/i/i/t/130x152/Monet-Egg-Cooker-0-5-SDL658959235-2-f6bca.jpg', 'https://n4.sdlcdn.com/imgs/i/i/t/130x152/Monet-Egg-Cooker-0-5-SDL658959235-3-f861e.jpg', 'https://n3.sdlcdn.com/imgs/i/i/t/130x152/Monet-Egg-Cooker-0-5-SDL658959235-4-1393b.jpg', 'https://n2.sdlcdn.com/imgs/i/i/t/130x152/Monet-Egg-Cooker-0-5-SDL658959235-5-c241d.jpg']"
Shopo Electric Mini Egg Steam Boiler Multi Egg Boiling Cooker,1999,"['https://n3.sdlcdn.com/imgs/a/2/d/130x152/Shopo-1-Ltr-SC-1-SDL371422879-1-f1959.jpg', 'https://n2.sdlcdn.com/imgs/a/2/d/130x152/Shopo-1-Ltr-SC-1-SDL371422879-2-b2655.jpg']"
GREEN KIWWI GKMULTIKETTLE 2 Ltr Stainless Steel Cook & Carry Travel Cooker,3999,"['https://n2.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-2-Ltr-SDL320266137-1-baeb0.jpg', 'https://n2.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-2-Ltr-SDL320266137-2-7d4c3.jpg', 'https://n1.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-2-Ltr-SDL320266137-3-0e217.jpg', 'https://n2.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-2-Ltr-SDL320266137-4-14dc7.jpg', 'https://n4.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-2-Ltr-SDL320266137-5-a987a.jpg', 'https://n1.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-2-Ltr-SDL320266137-6-c3d1e.jpg']"
GREEN KIWWI GKMULTIKETTLE 1.3 Ltr Stainless Steel Cook & Carry Travel Cooker,3999,"['https://n3.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-3-SDL337328204-1-55cc3.jpg', 'https://n4.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-3-SDL337328204-2-afb00.jpg', 'https://n2.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-3-SDL337328204-3-0fb39.jpg', 'https://n3.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-3-SDL337328204-4-a74b8.jpg', 'https://n2.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-3-SDL337328204-5-8b7b3.jpg', 'https://n1.sdlcdn.com/imgs/k/t/c/130x152/GREEN-KIWWI-GKMULTIKETTLE-1-3-SDL337328204-6-d7a57.jpg']"
