product_name,price,images
Orpat - More than 500W Mixer Grinder 2 Jars,2675,"['https://n3.sdlcdn.com/imgs/k/k/v/130x152/Orpat-More-than-500W-Mixer-SDL449844943-1-0640e.jpg', 'https://n1.sdlcdn.com/imgs/k/k/v/130x152/Orpat-More-than-500W-Mixer-SDL449844943-2-9efdf.jpg', 'https://n1.sdlcdn.com/imgs/k/k/v/130x152/Orpat-More-than-500W-Mixer-SDL449844943-3-ebcab.jpg', 'https://n4.sdlcdn.com/imgs/k/k/v/130x152/Orpat-More-than-500W-Mixer-SDL449844943-4-84b4a.jpg']"
Frontline JUICE BOTTLE 35 Watt Pink Centrifugal Juicer,999,"['https://n3.sdlcdn.com/imgs/k/u/w/130x152/Frontline-JUICE-BOTTLE-35-Watt-SDL085091326-1-4c7e2.jpg', 'https://n1.sdlcdn.com/imgs/k/u/w/130x152/Frontline-JUICE-BOTTLE-35-Watt-SDL085091326-2-129df.jpg', 'https://n4.sdlcdn.com/imgs/k/u/w/130x152/Frontline-JUICE-BOTTLE-35-Watt-SDL085091326-3-a6d8a.jpg', 'https://n2.sdlcdn.com/imgs/k/u/w/130x152/Frontline-JUICE-BOTTLE-35-Watt-SDL085091326-4-c27c8.jpg', 'https://n3.sdlcdn.com/imgs/k/u/w/130x152/Frontline-JUICE-BOTTLE-35-Watt-SDL085091326-5-7b20f.jpg', 'https://n3.sdlcdn.com/imgs/k/u/w/130x152/Frontline-JUICE-BOTTLE-35-Watt-SDL085091326-6-5639c.jpg']"
ASIAN USB Juicer 250 Watt 1 Jar Juicer Mixer Grinder,1999,"['https://n3.sdlcdn.com/imgs/k/k/0/130x152/ASIAN-USB-Juicer-250-Watt-SDL583395721-1-abace.jpeg', 'https://n4.sdlcdn.com/imgs/k/k/0/130x152/ASIAN-USB-Juicer-250-Watt-SDL583395721-2-83ed2.jpeg']"
Shoppingtadka QL 602 250 Watt 1 Jar Juicer Mixer Grinder,1999,"['https://n2.sdlcdn.com/imgs/i/z/g/130x152/Shoppingtadka-QL-602-250-Watt-SDL975463542-1-8fdad.jpeg', 'https://n2.sdlcdn.com/imgs/i/z/g/130x152/Shoppingtadka-QL-602-250-Watt-SDL975463542-2-48a9d.jpeg', 'https://n4.sdlcdn.com/imgs/i/z/g/130x152/Shoppingtadka-QL-602-250-Watt-SDL975463542-3-c181f.jpeg', 'https://n1.sdlcdn.com/imgs/i/z/g/130x152/Shoppingtadka-QL-602-250-Watt-SDL975463542-4-968bd.jpeg', 'https://n3.sdlcdn.com/imgs/i/z/g/130x152/Shoppingtadka-QL-602-250-Watt-SDL975463542-5-f761f.jpeg', 'https://n2.sdlcdn.com/imgs/i/z/g/130x152/Shoppingtadka-QL-602-250-Watt-SDL975463542-6-4bc5f.jpeg']"
Wristkart USB juicer mixer 250 Watt 1 Jar Juicer Mixer Grinder,1999,"['https://n3.sdlcdn.com/imgs/k/l/y/130x152/Wristkart-USB-juicer-mixer-250-SDL410413080-1-f075e.jpg', 'https://n1.sdlcdn.com/imgs/k/l/y/130x152/Wristkart-USB-juicer-mixer-250-SDL410413080-2-e2711.jpg', 'https://n1.sdlcdn.com/imgs/k/l/y/130x152/Wristkart-USB-juicer-mixer-250-SDL410413080-3-a4a14.jpg', 'https://n1.sdlcdn.com/imgs/k/l/y/130x152/Wristkart-USB-juicer-mixer-250-SDL410413080-4-1256f.jpg', 'https://n1.sdlcdn.com/imgs/k/l/y/130x152/Wristkart-USB-juicer-mixer-250-SDL410413080-5-a5e25.jpeg']"
Orpat Orpat Mixer Grinder 800 Watt 3 Jar Juicer Mixer Grinder,3525,"['https://n1.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-800-SDL481807374-1-d1323.jpg', 'https://n2.sdlcdn.com/imgs/k/s/4/130x152/Orpat-Orpat-Mixer-Grinder-800-SDL481807374-2-bb829.jpg']"
"Goodflame Fest Mixer Grinder 500 Watt 2 Jars Stainless Steel Mixer Grinder(Mixer Grinder,White)",3899,"['https://n4.sdlcdn.com/imgs/k/m/y/130x152/GOODFLAME-500W-Mixer-Grinder-2-SDL932957908-1-2d713.jpg', 'https://n3.sdlcdn.com/imgs/k/m/y/130x152/GOODFLAME-500W-Mixer-Grinder-2-SDL932957908-2-47f00.jpg', 'https://n4.sdlcdn.com/imgs/k/m/y/130x152/GOODFLAME-500W-Mixer-Grinder-2-SDL932957908-3-6c22b.jpg']"
SHOPEPRO VS-JUICER 25 Watt Centrifugal Juicer,1999,"['https://n2.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-1-b3af7.jpg', 'https://n2.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-2-1f42a.jpg', 'https://n3.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-3-f8378.jpg', 'https://n2.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-4-a2100.jpg', 'https://n1.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-5-51d3a.jpg', 'https://n4.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-6-e8816.jpg', 'https://n2.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-7-e21ad.jpg', 'https://n4.sdlcdn.com/imgs/i/e/k/130x152/SHOPEPRO-VS-JUICER-750-Watt-SDL631772647-8-8d301.jpg']"
SURYAVIVA RONIN 2 JAR 500W 2 Jars Mixer Grinder,3699,"['https://n3.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-RONIN-2-JAR-500W-SDL213612263-1-f650e.jpg', 'https://n1.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-RONIN-2-JAR-500W-SDL213612263-2-8dad2.jpg', 'https://n1.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-RONIN-2-JAR-500W-SDL213612263-3-0cb36.jpg', 'https://n4.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-RONIN-2-JAR-500W-SDL213612263-4-55480.jpg', 'https://n1.sdlcdn.com/imgs/k/v/c/130x152/SURYAVIVA-RONIN-2-JAR-500W-SDL213612263-5-468b8.jpg']"
"Goodflame Carnival Mixer Grinder 500 Watt 3 Jars Stainless Steel Mixer Grinder(Mixer Grinder,White & Blue)",4190,"['https://n2.sdlcdn.com/imgs/k/m/c/130x152/GOODFLAME-500W-Mixer-Grinder-3-SDL734770203-1-72d24.jpg', 'https://n4.sdlcdn.com/imgs/k/m/c/130x152/GOODFLAME-500W-Mixer-Grinder-3-SDL734770203-2-16849.jpg', 'https://n3.sdlcdn.com/imgs/k/m/c/130x152/GOODFLAME-500W-Mixer-Grinder-3-SDL734770203-3-098cf.jpg', 'https://n3.sdlcdn.com/imgs/k/m/c/130x152/GOODFLAME-500W-Mixer-Grinder-3-SDL734770203-4-3f6a3.jpg']"
