product_name,price,images
MYSTIQ Qwik Fire Pack Of 2 Lighter,460,"['https://n3.sdlcdn.com/imgs/j/x/y/130x152/MYSTIQ-Qwik-Fire-Pack-Of-SDL977054872-1-b1a51.png', 'https://n4.sdlcdn.com/imgs/j/x/y/130x152/MYSTIQ-Qwik-Fire-Pack-Of-SDL977054872-2-f2e41.png', 'https://n1.sdlcdn.com/imgs/j/x/y/130x152/MYSTIQ-Qwik-Fire-Pack-Of-SDL977054872-3-0d783.jpg']"
OFFYX - Stainless Steel Lighter,449,['https://n1.sdlcdn.com/imgs/k/k/1/130x152/OFFYX-Stainless-Steel-Lighter-SDL069346219-1-3e584.jpg']
GKBOSS Gas Saver Burner Stand,799,"['https://n3.sdlcdn.com/imgs/k/n/1/130x152/GKBOSS-Stainless-Steel-Burners-SDL021046028-2-bdc40.jpg', 'https://n4.sdlcdn.com/imgs/k/n/1/130x152/GKBOSS-Stainless-Steel-Burners-SDL021046028-1-48577.png', 'https://n2.sdlcdn.com/imgs/k/n/1/130x152/GKBOSS-Stainless-Steel-Burners-SDL021046028-3-6fe1e.jpg']"
"Suryaviva Photon Viva 3B Ms Bk Toughened Glass 3 Cast Iron Burner Gas Stove(Manual Ignition,Black)",6890,"['https://n4.sdlcdn.com/imgs/k/t/4/130x152/Suryaviva-Photon-Viva-3B-Ms-SDL655417815-1-75c85.jpg', 'https://n3.sdlcdn.com/imgs/k/t/4/130x152/Suryaviva-Photon-Viva-3B-Ms-SDL655417815-2-8a26e.jpg', 'https://n1.sdlcdn.com/imgs/k/t/4/130x152/Suryaviva-Photon-Viva-3B-Ms-SDL655417815-3-f0777.jpg', 'https://n2.sdlcdn.com/imgs/k/t/4/130x152/Suryaviva-Photon-Viva-3B-Ms-SDL655417815-4-ca7c5.jpg', 'https://n1.sdlcdn.com/imgs/k/t/4/130x152/Suryaviva-Photon-Viva-3B-Ms-SDL655417815-5-f221b.jpg', 'https://n4.sdlcdn.com/imgs/k/n/b/130x152/SURYAVIVA-3-BURNER-PHOTON-VIVA-SDL655417815-4-7056e.jpg']"
"Suryaviva Nano 4B Ms Bk Toughened Glass 4 Cast Iron Burner Gas Stove(Manual Ignition,Black)",11490,"['https://n3.sdlcdn.com/imgs/k/n/b/130x152/SURYAVIVA-4-BURNER-NANO-VIVA-SDL659704325-1-d6f29.jpg', 'https://n4.sdlcdn.com/imgs/k/n/b/130x152/SURYAVIVA-4-BURNER-NANO-VIVA-SDL659704325-2-3d8fb.jpg', 'https://n2.sdlcdn.com/imgs/k/n/b/130x152/SURYAVIVA-4-BURNER-NANO-VIVA-SDL659704325-3-149c9.jpg', 'https://n4.sdlcdn.com/imgs/k/n/b/130x152/SURYAVIVA-4-BURNER-NANO-VIVA-SDL659704325-4-d3ad7.jpg']"
Indane LP GAS Regulator,498,['https://n4.sdlcdn.com/imgs/i/4/7/130x152/Indane-LP-GAS-Regulator-SDL368357065-1-1868c.jpeg']
"Goodflame Slim 3B Ss Bk Toughened Glass 3 Brass Burner Gas Stove(Manual Ignition,Black)",8399,"['https://n3.sdlcdn.com/imgs/j/v/x/130x152/SDL974529253-685a0.jpg', 'https://n4.sdlcdn.com/imgs/j/s/e/130x152/goodflame-3-burner-ss-slim-SDL974529253-1-c55a1.jpeg', 'https://n1.sdlcdn.com/imgs/j/s/e/130x152/goodflame-3-burner-ss-slim-SDL974529253-2-4f076.jpeg', 'https://n1.sdlcdn.com/imgs/j/s/e/130x152/goodflame-3-burner-ss-slim-SDL974529253-3-e0234.jpeg', 'https://n2.sdlcdn.com/imgs/j/s/e/130x152/goodflame-3-burner-ss-slim-SDL974529253-4-e5a90.jpeg', 'https://n3.sdlcdn.com/imgs/j/s/e/130x152/goodflame-3-burner-ss-slim-SDL974529253-5-f2eba.jpeg', 'https://n4.sdlcdn.com/imgs/a/b/c/130x152/sdtv/SDL974529253_removeBg.jpg', 'https://n1.sdlcdn.com/imgs/j/a/u/130x152/Good-Flame-Runner-Eco-Series-SDL974529253-3-ba70b.jpeg', 'https://n3.sdlcdn.com/imgs/j/a/u/130x152/Good-Flame-Runner-Eco-Series-SDL974529253-2-61660.jpeg', 'https://n2.sdlcdn.com/imgs/j/a/u/130x152/Good-Flame-Runner-Eco-Series-SDL974529253-1-03eb5.jpeg', 'https://n1.sdlcdn.com/imgs/j/a/u/130x152/Good-Flame-Runner-Eco-Series-SDL974529253-4-2458b.jpeg', 'https://n1.sdlcdn.com/imgs/j/a/u/130x152/Good-Flame-Runner-Eco-Series-SDL974529253-5-82e5f.jpeg']"
SURYAVIVA - Mild Steel 2 Burners Gas Stove,5490,"['https://n1.sdlcdn.com/imgs/k/r/l/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL381028949-1-ab06e.jpg', 'https://n4.sdlcdn.com/imgs/k/u/b/130x152/WhatsAppImage2024_02_27at1_57_02PM-c6694.jpeg', 'https://n1.sdlcdn.com/imgs/k/r/l/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL381028949-2-40591.jpg', 'https://n2.sdlcdn.com/imgs/k/r/l/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL381028949-3-2ffbe.jpg', 'https://n1.sdlcdn.com/imgs/k/r/l/130x152/SURYAVIVA-Mild-Steel-2-Burners-SDL381028949-4-980e3.jpg']"
Inshop Gas Saver Burner Stand,999,"['https://n2.sdlcdn.com/imgs/k/h/o/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL556352761-2-22078.jpg', 'https://n3.sdlcdn.com/imgs/k/h/o/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL556352761-1-e32ef.jpg', 'https://n1.sdlcdn.com/imgs/k/h/o/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL556352761-3-12de3.jpg', 'https://n4.sdlcdn.com/imgs/k/h/o/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL556352761-4-e663e.jpg', 'https://n3.sdlcdn.com/imgs/k/h/o/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL556352761-5-efac0.jpg', 'https://n3.sdlcdn.com/imgs/k/h/o/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL556352761-6-817e7.jpg', 'https://n2.sdlcdn.com/imgs/k/h/o/130x152/INSHOP-Stainless-Steel-Gas-Stove-SDL556352761-7-5d409.jpg']"
"Suryaviva Nano Plus Digital 3B Ms Bk Toughened Glass 3 Cast Iron Burner Gas Stove(Manual Ignition,Multi Colour)",8990,"['https://n2.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL078912993-1-627e6.jpg', 'https://n1.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL078912993-2-07bf7.jpg', 'https://n1.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL078912993-3-1d079.jpg', 'https://n2.sdlcdn.com/imgs/k/m/y/130x152/SURYAVIVA-3-BURNER-NP-DIGITAL-SDL078912993-4-d091a.jpg']"
