link,link_position
/motorola-g04-satin-blue-128-gb/p/itm723b134b6121c?pid=MOBGUFK4DNFX5BFV&lid=LSTMOBGUFK4DNFX5BFVR3WXGI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_39&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGUFK4DNFX5BFV.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,15
/poco-c65-pastel-green-128-gb/p/itm50cb31371238b?pid=MOBGXTV9GZHKA5KW&lid=LSTMOBGXTV9GZHKA5KWMKX3GG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_40&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGXTV9GZHKA5KW.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,16
/poco-c61-ethereal-blue-128-gb/p/itm57e6bcdef80d2?pid=MOBGZ8P7XJXTYD3P&lid=LSTMOBGZ8P7XJXTYD3PHQWIOQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_41&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGZ8P7XJXTYD3P.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,17
/poco-m6-5g-orion-blue-256-gb/p/itme5e4ce0f49daf?pid=MOBGW9FEH8ZHKNDY&lid=LSTMOBGW9FEH8ZHKNDYVSMGCF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_42&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGW9FEH8ZHKNDY.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,18
/poco-c65-matte-black-128-gb/p/itme8d1e736a1e3f?pid=MOBGVVTXBXRRZEUK&lid=LSTMOBGVVTXBXRRZEUKZU2IO7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_43&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGVVTXBXRRZEUK.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,19
/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BVK8HYMAG&lid=LSTMOBGYQ6BVK8HYMAGXL2LRY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_44&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGYQ6BVK8HYMAG.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,20
/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_45&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGYQ6BETBWFTDH.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,21
/realme-12x-5g-twilight-purple-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BMYWCAZEC&lid=LSTMOBGYQ6BMYWCAZECB5I66N&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_2_46&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGYQ6BMYWCAZEC.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,22
/motorola-edge-50-fusion-hot-pink-256-gb/p/itm754e69c2fc5dd?pid=MOBGXTYZZBUPYFEC&lid=LSTMOBGXTYZZBUPYFECU3ECBQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_47&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGXTYZZBUPYFEC.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,23
/motorola-g64-5g-pearl-blue-128-gb/p/itm68710cef5104b?pid=MOBGY2JU53P3KMG9&lid=LSTMOBGY2JU53P3KMG9IXP4DQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_48&otracker=search&fm=organic&iid=4a9b8b94-0c20-4107-81d0-7f1488fa049e.MOBGY2JU53P3KMG9.SEARCH&ppt=None&ppn=None&ssid=9uf8z8esvk0000001716722852431&qH=eb4af0bf07c16429,24
