link,link_position
/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEQGWCCN4D&lid=LSTMOBGZRNEQGWCCN4DMPALX8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZRNEQGWCCN4D.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,11
/motorola-g64-5g-ice-lilac-128-gb/p/itm36e3ccb6c9dee?pid=MOBGY2JUZHAXQ8ZG&lid=LSTMOBGY2JUZHAXQ8ZGKQ5SOK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGY2JUZHAXQ8ZG.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,12
/motorola-g64-5g-mint-green-128-gb/p/itm6dfa6fef0e50a?pid=MOBGY2JUK2JQHPYK&lid=LSTMOBGY2JUK2JQHPYKRPLV1S&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGY2JUK2JQHPYK.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,13
/poco-c65-matte-black-128-gb/p/itm8ea3d87aa6c0c?pid=MOBGVVTXAFHYHDZS&lid=LSTMOBGVVTXAFHYHDZSK9U3D1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGVVTXAFHYHDZS.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,14
/poco-c65-pastel-green-128-gb/p/itm534cf85baf789?pid=MOBGXTV9GCTRG3NV&lid=LSTMOBGXTV9GCTRG3NVGJTTCT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGXTV9GCTRG3NV.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,15
/motorola-g64-5g-mint-green-256-gb/p/itm03d965c2f47ac?pid=MOBGY2JUPSSWCZEJ&lid=LSTMOBGY2JUPSSWCZEJ3RUIAQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGY2JUPSSWCZEJ.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,16
/poco-c61-diamond-dust-black-128-gb/p/itme76b51d42160a?pid=MOBGZ8P7BAHYFYSG&lid=LSTMOBGZ8P7BAHYFYSGDJGAIX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZ8P7BAHYFYSG.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,17
/poco-c61-mystical-green-128-gb/p/itm9215fba9e0392?pid=MOBGZ8P7PRUZEAG3&lid=LSTMOBGZ8P7PRUZEAG3WVY6JI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZ8P7PRUZEAG3.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,18
/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMN4R7KTT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,19
/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,20
/realme-12x-5g-woodland-green-128-gb/p/itmaa3401e5370b5?pid=MOBGYQ6BETBWFTDH&lid=LSTMOBGYQ6BETBWFTDHJLSPJZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGYQ6BETBWFTDH.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,21
/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,22
/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS488YYT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,23
/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZKIFVYT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,24
