link,link_position
/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,1
/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,2
/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZRNEPA4FFHCV.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,3
/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,4
/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDPBFWUMWG&lid=LSTMOBGZZCDPBFWUMWGUSZ5RR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZZCDPBFWUMWG.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,5
/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNERKDV5ECF&lid=LSTMOBGZRNERKDV5ECFN7UCZ2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZRNERKDV5ECF.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,6
/poco-m6-pro-5g-forest-green-128-gb/p/itm151f47ed48eee?pid=MOBGRNZ3FZBVRYHQ&lid=LSTMOBGRNZ3FZBVRYHQLWWUJH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGRNZ3FZBVRYHQ.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,7
/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDVNWUZSPJ&lid=LSTMOBGZZCDVNWUZSPJJQS1G5&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZZCDVNWUZSPJ.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,8
/poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGRNZ3ER4N3K4F.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,9
/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEHZHTGNJ5&lid=LSTMOBGZRNEHZHTGNJ5KIBQXQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=9b2b9f6e-c116-4855-8a57-ff3b699dc30f.MOBGZRNEHZHTGNJ5.SEARCH&ppt=None&ppn=None&ssid=7phw9c8ezk0000001716722840689&qH=eb4af0bf07c16429,10
